Experiment: Core solvers					
Instance	time	Modularity	Variables	Clauses	Communities
smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf	5000.03	0.865451	27158	68879	21
smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf	4.03239	0.886131	348692	878969	10
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf	5000.07	0.903123	88350	262658	21
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf	5000.03	0.941663	98933	296405	36
hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf	5000.1	0.925854	156056	466691	38
hitag2-8-60-0-0x880693399044612-25-SAT.cnf	1683.5	0.632689	2243	31013	47
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf	2384.32				
hitag2-8-60-0-0xfba1a41b5dfd7f7-52.cnf	5000.08	0.62698	2251	31022	46
slp-synthesis-aes-top26.cnf	5000.03	0.655759	73941	245006	2167
slp-synthesis-aes-bottom14.cnf	5000.11	0.695258	22055	76038	182
slp-synthesis-aes-bottom13.cnf	213.374	0.696986	19255	66333	166
gus-md5-08.cnf	129.313	0.8115	69140	226300	11
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf	3253.06				
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf	3071.13				
arcfour_initialPermutation_6_14.cnf	604.472	0.743733	105357	405350	35
9dlx_vliw_at_b_iq9.cnf	1063.07				
arcfour_initialPermutation_5_32.cnf	5000.04	0.734919	23149	87670	14
arcfour_initialPermutation_6_16.cnf	2018.58	0.744341	105745	405350	35
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf	2430.22				
hitag2-8-60-0-0xdcdbc8bf368ee73-37.cnf	2392.82	0.6294	2295	30490	46
arcfour_initialPermutation_6_24.cnf	5000.02	0.744541	105753	405350	35
beempgsol2b1.cnf	5000.11	0.790979	21464	61561	20
hitag2-8-60-0-0xa3b8497b8aad6d7-42.cnf	3504.2	0.63136	2328	30885	47
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.040-NOTKNOWN.cnf	3896.66				
